data_id,treat,age,education,black,hispanic,married,nodegree,re74,re75,re78
CPS2,0,33,12,0,0,0,0,25862.32,25243.551,25564.67
CPS2,0,29,5,0,0,1,1,25862.32,25243.551,25564.67
CPS2,0,41,12,0,0,1,0,25862.32,25243.551,25564.67
CPS2,0,39,8,1,0,1,1,25862.32,25243.551,25564.67
CPS2,0,46,12,1,0,0,0,25862.32,25243.551,25564.67
CPS2,0,49,14,0,0,1,0,25862.32,25243.551,0
CPS2,0,41,14,0,0,1,0,25862.32,25243.551,16624.42
CPS2,0,49,18,0,0,1,0,25862.32,25243.551,25564.67
CPS2,0,24,12,0,0,0,0,25862.32,25243.551,25564.67
CPS2,0,27,13,0,0,1,0,25862.32,25243.551,0
CPS2,0,41,7,0,0,1,1,25862.32,25243.551,25564.67
CPS2,0,52,12,0,0,1,0,25862.32,25243.551,25564.67
CPS2,0,34,12,0,0,1,0,25862.32,25243.551,0
CPS2,0,45,12,0,0,1,0,25862.32,25243.551,25564.67
CPS2,0,28,16,0,0,1,0,25862.32,25243.551,25564.67
CPS2,0,23,13,0,0,1,0,25862.32,25243.551,25564.67
CPS2,0,47,11,0,0,1,1,25862.32,25243.551,25564.67
CPS2,0,28,12,0,0,0,0,25862.32,25243.551,25564.67
CPS2,0,48,12,0,0,1,0,25862.32,25243.551,25564.67
CPS2,0,31,13,0,0,1,0,25862.32,25243.551,25564.67
CPS2,0,52,12,0,0,1,0,25862.32,25243.551,23888.93
CPS2,0,34,10,0,0,1,1,25862.32,25243.551,25564.67
CPS2,0,54,14,0,0,1,0,25862.32,25243.551,0
CPS2,0,33,18,0,0,1,0,25862.32,25243.551,25564.67
CPS2,0,38,18,0,0,1,0,25862.32,25243.551,25564.67
CPS2,0,45,12,0,1,1,0,25862.32,25243.551,3026.384
CPS2,0,55,12,0,0,0,0,25862.32,25243.551,23454.48
CPS2,0,49,16,0,0,1,0,25862.32,25243.551,0
CPS2,0,47,12,0,0,1,0,25862.32,25243.551,25564.67
CPS2,0,29,14,0,0,1,0,25862.32,25243.551,25564.67
CPS2,0,23,10,0,0,1,1,25862.32,25243.551,25564.67
CPS2,0,42,12,0,0,1,0,25862.32,25243.551,24680.99
CPS2,0,45,12,0,0,1,0,25862.32,25243.551,25564.67
CPS2,0,37,12,0,0,1,0,25862.32,25243.551,25564.67
CPS2,0,47,9,0,0,1,1,25862.32,25243.551,25564.67
CPS2,0,48,10,0,1,1,1,25862.32,25243.551,25564.67
CPS2,0,49,16,0,0,1,0,25862.32,25243.551,25564.67
CPS2,0,53,16,0,0,1,0,25862.32,25243.551,25564.67
CPS2,0,34,12,0,0,1,0,25862.32,25243.551,25564.67
CPS2,0,43,13,0,0,1,0,25862.32,25243.551,25564.67
CPS2,0,35,12,0,0,1,0,25862.32,25243.551,25564.67
CPS2,0,38,14,0,0,1,0,25862.32,25243.551,25564.67
CPS2,0,26,13,0,1,1,0,25862.32,25243.551,25564.67
