data_id,treat,age,education,black,hispanic,married,nodegree,re74,re75,re78
PSID2,0,44,13,0,0,1,0,0,0,0
PSID2,0,34,12,0,0,1,0,0,0,0
PSID2,0,46,6,1,0,1,1,0,0,0
PSID2,0,45,7,1,0,1,1,0,0,11821.813
PSID2,0,45,9,1,0,1,1,0,0,0
PSID2,0,49,14,0,0,1,0,0,0,0
PSID2,0,53,6,0,0,1,1,0,0,0
PSID2,0,47,12,0,0,0,0,0,0,0
PSID2,0,47,8,0,0,0,1,0,0,0
PSID2,0,52,8,0,0,1,1,0,0,0
PSID2,0,40,10,0,1,1,1,0,0,0
PSID2,0,55,14,0,0,1,0,0,0,0
PSID2,0,54,3,1,0,0,1,0,0,221.659
PSID2,0,50,12,1,0,1,0,0,0,0
PSID2,0,52,12,0,0,1,0,0,0,0
PSID2,0,25,11,1,0,0,1,0,0,3694.3164
PSID2,0,46,9,0,1,1,1,0,0,0
PSID2,0,48,9,0,0,1,1,0,0,0
PSID2,0,44,12,0,0,0,0,0,0,0
PSID2,0,26,17,0,0,1,0,0,0,11821.813
PSID2,0,51,5,1,0,0,1,0,0,0
PSID2,0,34,16,0,0,1,0,0,0,11821.813
PSID2,0,41,6,1,0,1,1,0,0,0
PSID2,0,55,8,1,0,1,1,0,0,0
PSID2,0,46,9,0,1,1,1,0,0,0
PSID2,0,55,8,0,0,1,1,0,0,0
PSID2,0,34,14,1,0,1,0,0,0,0
PSID2,0,28,12,1,0,1,0,0,0,0
PSID2,0,54,12,0,0,1,0,0,0,0
PSID2,0,53,7,0,1,0,1,0,0,0
PSID2,0,54,10,1,0,1,1,0,0,0
PSID2,0,55,12,0,1,1,0,0,0,0
PSID2,0,53,8,1,0,1,1,0,0,0
PSID2,0,47,12,0,0,1,0,0,0,0
PSID2,0,55,13,0,1,1,0,0,0,0
PSID2,0,41,8,0,0,1,1,0,0,0
PSID2,0,45,9,1,0,1,1,0,0,0
PSID2,0,54,3,1,0,1,1,0,0,0
PSID2,0,54,9,0,0,1,1,0,0,0
PSID2,0,54,10,1,0,1,1,0,0,0
PSID2,0,53,4,1,0,0,1,0,0,0
PSID2,0,25,12,1,0,0,0,0,0,0
PSID2,0,54,3,1,0,1,1,0,0,0
PSID2,0,54,3,1,0,1,1,0,0,0
PSID2,0,44,12,0,0,1,0,0,0,0
PSID2,0,51,4,1,0,1,1,0,0,0
PSID2,0,45,8,0,0,1,1,0,0,0
PSID2,0,41,11,0,0,1,1,0,0,14481.72
PSID2,0,23,11,1,0,0,1,0,0,0
PSID2,0,50,12,1,0,1,0,0,0,0
PSID2,0,23,11,1,0,0,1,0,0,0
PSID2,0,23,12,1,0,0,0,0,0,4728.7251
PSID2,0,21,13,0,0,0,0,0,692.85486,2659.9077
PSID2,0,21,15,0,0,0,0,0,3222.5806,14777.266
PSID2,0,23,14,0,0,0,0,0,3401.6128,5319.8159
PSID2,0,27,17,0,0,0,0,0,6087.0967,7388.6328
PSID2,0,21,11,1,0,0,1,0,9846.7744,5615.3608
PSID2,0,25,12,1,0,1,0,0,21483.871,1220.6022
PSID2,0,43,3,1,0,1,1,17.633402,0,0
PSID2,0,52,6,1,0,1,1,235.11201,1246.0645,1477.7266
PSID2,0,54,8,0,0,1,1,293.89001,537.09674,295.54532
PSID2,0,52,7,1,0,0,1,293.89001,5012.9033,0
PSID2,0,24,12,1,0,0,0,783.70673,0,10344.086
PSID2,0,22,13,0,0,0,0,783.70673,0,2305.2534
PSID2,0,26,15,0,0,0,0,979.63342,1879.8387,3250.9985
PSID2,0,23,12,1,0,0,0,1077.5967,3222.5806,5910.9063
PSID2,0,22,12,1,0,1,0,1269.6049,0,0
PSID2,0,24,17,0,0,1,0,1371.4868,0,24825.807
PSID2,0,20,10,0,0,0,1,1381.2831,3523.3547,9309.6777
PSID2,0,31,6,1,0,0,1,1410.6721,555,16059.932
PSID2,0,27,16,0,0,1,0,1469.4501,1253.2258,4363.7266
PSID2,0,23,10,1,0,0,1,1469.4501,5370.9678,0
PSID2,0,19,11,1,0,0,1,1567.4135,0,0
PSID2,0,35,9,1,0,0,1,1567.4135,5370.9678,5910.9063
PSID2,0,21,15,0,0,0,0,1763.3401,9667.7422,4137.6343
PSID2,0,21,12,1,0,0,0,1959.2668,5460.4839,1152.6267
PSID2,0,22,12,1,0,1,0,2006.2892,2470.6453,0
PSID2,0,23,13,0,0,1,0,2155.1936,5370.9678,11378.495
PSID2,0,20,12,1,0,0,0,2351.1201,4475.8066,17732.719
PSID2,0,19,14,0,0,0,0,2938.9001,3222.5806,0
PSID2,0,55,7,0,0,0,1,2938.9001,8342.9033,0
PSID2,0,40,4,1,0,0,1,2962.4114,1933.5483,1034.4086
PSID2,0,52,0,0,0,1,1,3134.8269,0,295.54532
PSID2,0,22,9,1,0,0,1,3134.8269,4345.1128,13299.539
